,date,humidity1,vibration1,humidity2,vibration2,temperature,distance,status
0,2022-02-05 10:05:02,41,2.367,42,2.167,38.8,2,kering ke kering
1,2022-02-05 10:05:03,41,2.367,42,2.167,38.79,2,kering ke kering
2,2022-02-05 10:05:04,41,2.367,42,2.167,38.79,2,kering ke kering
3,2022-02-05 10:05:05,41,2.367,42,2.167,38.78,2,kering ke kering
4,2022-02-05 10:05:06,41,2.367,42,2.167,38.78,2,kering ke kering
5,2022-02-05 10:05:07,41,2.367,42,2.167,38.77,2,kering ke kering
6,2022-02-05 10:05:08,41,2.367,42,2.167,38.77,2,kering ke kering
7,2022-02-05 10:05:09,41,2.367,42,2.167,38.77,2,kering ke kering
8,2022-02-05 10:05:10,41,2.367,42,2.167,38.760000000000005,2,kering ke kering
9,2022-02-05 10:05:11,41,2.367,42,2.167,38.760000000000005,2,kering ke kering
10,2022-02-05 10:05:12,41,2.367,42,2.167,38.760000000000005,2,kering ke kering
11,2022-02-05 10:05:13,41,2.367,42,2.0829999999999997,38.760000000000005,2,kering ke kering
12,2022-02-05 10:05:14,41,2.367,42,2.0829999999999997,38.75000000000001,2,kering ke kering
13,2022-02-05 10:05:15,41,2.367,42,2.0829999999999997,38.75000000000001,2,kering ke kering
14,2022-02-05 10:05:16,41,2.367,42,2.0829999999999997,38.74000000000001,2,kering ke kering
15,2022-02-05 10:05:17,41,2.367,42,2.0829999999999997,38.73000000000001,2,kering ke kering
16,2022-02-05 10:05:18,41,2.367,42,2.0829999999999997,38.73000000000001,2,kering ke kering
17,2022-02-05 10:05:19,41,2.367,42,2.0829999999999997,38.72000000000001,2,kering ke kering
18,2022-02-05 10:05:20,41,2.367,42,2.0829999999999997,38.72000000000001,2,kering ke kering
19,2022-02-05 10:05:21,41,2.367,42,2.0829999999999997,38.72000000000001,2,kering ke kering
20,2022-02-05 10:05:22,41,2.367,42,2.0829999999999997,38.72000000000001,2,kering ke kering
21,2022-02-05 10:05:23,41,2.252,42,2.0829999999999997,38.72000000000001,2,kering ke kering
22,2022-02-05 10:05:24,41,2.252,42,2.0829999999999997,38.710000000000015,2,kering ke kering
23,2022-02-05 10:05:25,41,2.252,42,2.0829999999999997,38.70000000000002,2,kering ke kering
24,2022-02-05 10:05:26,41,2.252,42,2.0829999999999997,38.70000000000002,2,kering ke kering
25,2022-02-05 10:05:27,41,2.252,42,2.0829999999999997,38.70000000000002,2,kering ke kering
26,2022-02-05 10:05:28,41,2.252,42,2.0829999999999997,38.69000000000002,2,kering ke kering
27,2022-02-05 10:05:29,41,2.252,42,2.0829999999999997,38.68000000000002,2,kering ke kering
28,2022-02-05 10:05:30,41,2.252,42,2.0829999999999997,38.67000000000002,2,kering ke kering
29,2022-02-05 10:05:31,41,2.252,42,2.0829999999999997,38.660000000000025,2,kering ke kering
30,2022-02-05 10:05:32,41,2.252,42,1.9659999999999997,38.660000000000025,2,kering ke kering
31,2022-02-05 10:05:33,41,2.252,42,1.9659999999999997,38.660000000000025,2,kering ke kering
32,2022-02-05 10:05:34,41,2.252,42,1.9659999999999997,38.660000000000025,2,kering ke kering
33,2022-02-05 10:05:35,41,2.252,42,1.9659999999999997,38.65000000000003,2,kering ke kering
34,2022-02-05 10:05:36,41,2.252,42,1.9659999999999997,38.64000000000003,2,kering ke kering
35,2022-02-05 10:05:37,41,2.252,42,1.9659999999999997,38.63000000000003,2,kering ke kering
36,2022-02-05 10:05:38,41,2.252,42,1.9659999999999997,38.62000000000003,2,kering ke kering
37,2022-02-05 10:05:39,41,2.252,42,1.9659999999999997,38.610000000000035,2,kering ke kering
38,2022-02-05 10:05:40,42,2.252,42,1.9659999999999997,38.60000000000004,2,kering ke kering
39,2022-02-05 10:05:41,42,2.252,42,1.9659999999999997,38.60000000000004,2,kering ke kering
40,2022-02-05 10:05:42,42,2.252,42,1.9659999999999997,38.60000000000004,2,kering ke kering
41,2022-02-05 10:05:43,42,2.252,42,1.9659999999999997,38.60000000000004,2,kering ke kering
42,2022-02-05 10:05:44,42,2.252,42,1.9659999999999997,38.59000000000004,2,kering ke kering
43,2022-02-05 10:05:45,42,2.252,42,1.9659999999999997,38.59000000000004,2,kering ke kering
44,2022-02-05 10:05:46,42,2.252,43,1.9659999999999997,38.58000000000004,2,kering ke kering
45,2022-02-05 10:05:47,42,2.252,43,1.9659999999999997,38.57000000000004,2,kering ke kering
46,2022-02-05 10:05:48,42,2.252,43,1.9659999999999997,38.560000000000045,2,kering ke kering
47,2022-02-05 10:05:49,42,2.252,43,1.9659999999999997,38.560000000000045,2,kering ke kering
48,2022-02-05 10:05:50,42,2.252,43,1.9659999999999997,38.55000000000005,2,kering ke kering
49,2022-02-05 10:05:51,42,2.252,43,1.9659999999999997,38.54000000000005,2,kering ke kering
50,2022-02-05 10:05:52,42,2.252,43,1.9659999999999997,38.54000000000005,2,kering ke kering
51,2022-02-05 10:05:53,42,2.13,43,1.9659999999999997,38.54000000000005,2,kering ke kering
52,2022-02-05 10:05:54,42,2.13,43,1.9659999999999997,38.54000000000005,2,kering ke kering
53,2022-02-05 10:05:55,42,2.13,43,1.8489999999999998,38.53000000000005,2,kering ke kering
54,2022-02-05 10:05:56,42,2.13,43,1.8489999999999998,38.52000000000005,2,kering ke kering
55,2022-02-05 10:05:57,42,2.13,43,1.8489999999999998,38.510000000000055,2,kering ke kering
56,2022-02-05 10:05:58,42,2.13,43,1.8489999999999998,38.50000000000006,2,kering ke kering
57,2022-02-05 10:05:59,42,2.13,43,1.8489999999999998,38.50000000000006,2,kering ke kering
58,2022-02-05 10:06:00,42,2.13,43,1.8489999999999998,38.49000000000006,2,kering ke kering
59,2022-02-05 10:06:01,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
60,2022-02-05 10:06:02,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
61,2022-02-05 10:06:03,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
62,2022-02-05 10:06:04,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
63,2022-02-05 10:06:05,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
64,2022-02-05 10:06:06,42,2.13,43,1.8489999999999998,38.48000000000006,2,kering ke kering
65,2022-02-05 10:06:07,42,2.13,43,1.8489999999999998,38.47000000000006,2,kering ke kering
66,2022-02-05 10:06:08,42,2.13,43,1.8489999999999998,38.460000000000065,2,kering ke kering
67,2022-02-05 10:06:09,42,2.13,43,1.8489999999999998,38.460000000000065,2,kering ke kering
68,2022-02-05 10:06:10,42,2.13,43,1.8489999999999998,38.460000000000065,2,kering ke kering
69,2022-02-05 10:06:11,42,2.13,43,1.8489999999999998,38.45000000000007,2,kering ke kering
70,2022-02-05 10:06:12,42,2.13,43,1.8489999999999998,38.44000000000007,2,kering ke kering
71,2022-02-05 10:06:13,42,2.13,43,1.8489999999999998,38.44000000000007,2,kering ke kering
72,2022-02-05 10:06:14,42,2.13,43,1.8489999999999998,38.44000000000007,2,kering ke kering
73,2022-02-05 10:06:15,42,2.13,43,1.8489999999999998,38.44000000000007,2,kering ke kering
74,2022-02-05 10:06:16,42,2.13,43,1.8489999999999998,38.44000000000007,2,kering ke kering
75,2022-02-05 10:06:17,42,2.13,43,1.8489999999999998,38.43000000000007,2,kering ke kering
