,date,humidity,temperature,ambient humidity,ambient temperature,light,status
0,2023-04-03 10:45:02,44,35.10912,46,31.99912,16782,siram
1,2023-04-03 10:45:03,44,35.108239999999995,46,31.998240000000003,16781,siram
2,2023-04-03 10:45:04,44,35.10735999999999,46,31.997360000000004,16783,siram
3,2023-04-03 10:45:05,44,35.10647999999999,46,31.996480000000005,16783,siram
4,2023-04-03 10:45:06,44,35.10559999999999,46,31.995600000000007,16784,siram
5,2023-04-03 10:45:07,44,35.104719999999986,46,31.994720000000008,16785,siram
6,2023-04-03 10:45:08,44,35.103839999999984,46,31.99384000000001,16785,siram
7,2023-04-03 10:45:09,44,35.10295999999998,46,31.99296000000001,16783,siram
8,2023-04-03 10:45:10,44,35.10207999999998,46,31.992080000000012,16783,siram
9,2023-04-03 10:45:11,44,35.10119999999998,46,31.991200000000013,16784,siram
10,2023-04-03 10:45:12,44,35.100319999999975,46,31.990320000000015,16782,siram
11,2023-04-03 10:45:13,44,35.09943999999997,46,31.989440000000016,16783,siram
12,2023-04-03 10:45:14,44,35.09855999999997,46,31.988560000000017,16785,siram
13,2023-04-03 10:45:15,44,35.09767999999997,46,31.98768000000002,16787,siram
14,2023-04-03 10:45:16,45,35.09677999999997,46,31.986780000000017,16785,siram
15,2023-04-03 10:45:17,45,35.095879999999966,46,31.985880000000016,16784,siram
16,2023-04-03 10:45:18,45,35.094979999999964,46,31.984980000000014,16784,siram
17,2023-04-03 10:45:19,45,35.09407999999996,46,31.984080000000013,16786,siram
18,2023-04-03 10:45:20,45,35.09317999999996,46,31.98318000000001,16787,siram
19,2023-04-03 10:45:21,45,35.09227999999996,46,31.98228000000001,16789,siram
20,2023-04-03 10:45:22,45,35.09137999999996,46,31.98138000000001,16791,siram
21,2023-04-03 10:45:23,45,35.09047999999996,46,31.980480000000007,16790,siram
22,2023-04-03 10:45:24,45,35.089579999999955,46,31.979580000000006,16792,siram
23,2023-04-03 10:45:25,45,35.088679999999954,46,31.978680000000004,16793,siram
24,2023-04-03 10:45:26,45,35.08777999999995,46,31.977780000000003,16793,siram
25,2023-04-03 10:45:27,45,35.08687999999995,46,31.97688,16794,siram
26,2023-04-03 10:45:28,45,35.08597999999995,46,31.97598,16795,siram
27,2023-04-03 10:45:29,45,35.08507999999995,46,31.97508,16794,siram
28,2023-04-03 10:45:30,45,35.08417999999995,46,31.974179999999997,16792,siram
29,2023-04-03 10:45:31,45,35.083279999999945,46,31.973279999999995,16791,siram
30,2023-04-03 10:45:32,46,35.082359999999944,46,31.972359999999995,16793,siram
31,2023-04-03 10:45:33,46,35.081439999999944,46,31.971439999999994,16793,siram
32,2023-04-03 10:45:34,46,35.08051999999994,46,31.970519999999993,16792,siram
33,2023-04-03 10:45:35,46,35.07959999999994,46,31.969599999999993,16794,siram
34,2023-04-03 10:45:36,46,35.07867999999994,46,31.968679999999992,16795,siram
35,2023-04-03 10:45:37,46,35.07775999999994,46,31.96775999999999,16796,siram
36,2023-04-03 10:45:38,46,35.07683999999994,46,31.96683999999999,16795,siram
37,2023-04-03 10:45:39,46,35.07591999999994,46,31.96591999999999,16796,siram
38,2023-04-03 10:45:40,46,35.07499999999994,46,31.96499999999999,16798,siram
39,2023-04-03 10:45:41,46,35.07407999999994,46,31.96407999999999,16800,siram
40,2023-04-03 10:45:42,46,35.07315999999994,46,31.963159999999988,16801,siram
41,2023-04-03 10:45:43,46,35.07223999999994,46,31.962239999999987,16799,siram
42,2023-04-03 10:45:44,46,35.071319999999936,46,31.961319999999986,16799,siram
43,2023-04-03 10:45:45,46,35.070399999999935,46,31.960399999999986,16797,siram
44,2023-04-03 10:45:46,47,35.069459999999935,46,31.959459999999986,16795,siram
45,2023-04-03 10:45:47,47,35.068519999999936,46,31.958519999999986,16793,siram
46,2023-04-03 10:45:48,47,35.067579999999936,46,31.957579999999986,16793,siram
47,2023-04-03 10:45:49,47,35.066639999999936,46,31.956639999999986,16791,siram
48,2023-04-03 10:45:50,47,35.065699999999936,46,31.955699999999986,16790,siram
49,2023-04-03 10:45:51,47,35.064759999999936,46,31.954759999999986,16791,siram
50,2023-04-03 10:45:52,47,35.063819999999936,46,31.953819999999986,16791,siram
51,2023-04-03 10:45:53,47,35.062879999999936,46,31.952879999999986,16791,siram
52,2023-04-03 10:45:54,47,35.061939999999936,46,31.951939999999986,16793,siram
53,2023-04-03 10:45:55,47,35.060999999999936,46,31.950999999999986,16794,siram
54,2023-04-03 10:45:56,47,35.060059999999936,46,31.950059999999986,16794,siram
55,2023-04-03 10:45:57,47,35.059119999999936,46,31.949119999999986,16796,siram
56,2023-04-03 10:45:58,47,35.058179999999936,46,31.948179999999986,16796,siram
57,2023-04-03 10:45:59,47,35.057239999999936,46,31.947239999999987,16797,siram
58,2023-04-03 10:46:00,47,35.056299999999936,46,31.946299999999987,16796,siram
59,2023-04-03 10:46:01,47,35.055359999999936,46,31.945359999999987,16794,siram
60,2023-04-03 10:46:02,47,35.054419999999936,46,31.944419999999987,16796,siram
61,2023-04-03 10:46:03,47,35.05347999999994,46,31.943479999999987,16798,siram
62,2023-04-03 10:46:04,48,35.05251999999994,46,31.942519999999988,16797,siram
63,2023-04-03 10:46:05,48,35.05155999999994,46,31.94155999999999,16795,siram
64,2023-04-03 10:46:06,48,35.05059999999994,46,31.94059999999999,16796,siram
65,2023-04-03 10:46:07,48,35.04963999999994,46,31.93963999999999,16796,siram
66,2023-04-03 10:46:08,48,35.04867999999994,46,31.93867999999999,16796,siram
67,2023-04-03 10:46:09,48,35.04771999999994,46,31.93771999999999,16798,siram
68,2023-04-03 10:46:10,48,35.04675999999994,46,31.936759999999992,16799,siram
69,2023-04-03 10:46:11,48,35.04579999999994,46,31.935799999999993,16801,siram
70,2023-04-03 10:46:12,48,35.044839999999944,46,31.934839999999994,16803,siram
71,2023-04-03 10:46:13,48,35.043879999999945,46,31.933879999999995,16801,siram
72,2023-04-03 10:46:14,48,35.042919999999945,46,31.932919999999996,16800,siram
73,2023-04-03 10:46:15,48,35.041959999999946,46,31.931959999999997,16802,siram
74,2023-04-03 10:46:16,48,35.04099999999995,46,31.930999999999997,16804,siram
75,2023-04-03 10:46:17,48,35.04003999999995,46,31.930039999999998,16806,siram
76,2023-04-03 10:46:18,48,35.03907999999995,46,31.92908,16804,siram
77,2023-04-03 10:46:19,48,35.03811999999995,46,31.92812,16805,siram
78,2023-04-03 10:46:20,48,35.03715999999995,46,31.92716,16803,siram
79,2023-04-03 10:46:21,49,35.03617999999995,46,31.926180000000002,16801,siram
80,2023-04-03 10:46:22,49,35.03519999999995,46,31.925200000000004,16802,siram
81,2023-04-03 10:46:23,49,35.034219999999955,46,31.924220000000005,16800,siram
82,2023-04-03 10:46:24,49,35.03323999999996,46,31.923240000000007,16800,siram
83,2023-04-03 10:46:25,49,35.03225999999996,46,31.92226000000001,16802,siram
84,2023-04-03 10:46:26,49,35.03127999999996,46,31.92128000000001,16803,siram
85,2023-04-03 10:46:27,49,35.03029999999996,46,31.92030000000001,16803,siram
86,2023-04-03 10:46:28,49,35.02931999999996,46,31.919320000000013,16805,siram
87,2023-04-03 10:46:29,49,35.028339999999965,46,31.918340000000015,16803,siram
88,2023-04-03 10:46:30,49,35.027359999999966,46,31.917360000000016,16803,siram
89,2023-04-03 10:46:31,49,35.02637999999997,46,31.916380000000018,16803,siram
90,2023-04-03 10:46:32,49,35.02539999999997,46,31.91540000000002,16804,siram
91,2023-04-03 10:46:33,49,35.02441999999997,46,31.91442000000002,16805,siram
92,2023-04-03 10:46:34,49,35.02343999999997,46,31.913440000000023,16803,siram
93,2023-04-03 10:46:35,49,35.022459999999974,46,31.912460000000024,16805,siram
94,2023-04-03 10:46:36,49,35.021479999999976,46,31.911480000000026,16803,siram
95,2023-04-03 10:46:37,50,35.02047999999998,46,31.910480000000025,16803,siram
96,2023-04-03 10:46:38,50,35.01947999999998,46,31.909480000000023,16805,siram
